DHSCLUST,acc50k_mean,slope_mean,elevation_mean,dist_highway_mean,dist_water_mean,dist_pa_mean,cows_mean,npp_mean,nl_mean,temp_mean,precip_mean,aridity_mean,evapotrans_mean
1,0.2,5,30.5,0.230000003,41.95000038,10904.9876,22.5,1.675460017,11.14158971,264.4,255.1,2.322839999,1321.2
2,857.3333333,2.222222222,24.22222222,0.774999998,4.699999985,35976.65853,2.611111111,1.317502763,0.584765874,273.5833333,208.6111111,1.956855555,1281.888889
3,842.6166667,1.733333333,33.18333333,0.785000001,8.405000003,41898.12565,1.466666667,1.564934987,0.191832758,273.2166667,209.0333333,1.960463331,1281.866667
4,852.3066667,1.64,30.77333333,0.810666666,5.465333334,38696.81781,1.586666667,1.458535983,0.053327345,273.4133333,208.4133333,1.956547999,1280.64
5,1205.98,4.3,59.66,1.760000005,6.278000007,59559.9525,1.36,1.555847972,0.054696757,271.24,201.9,1.933824,1255.44
6,744.2531646,9.17721519,109.3544304,2.041772146,6.654430368,2363.336009,0.696202532,1.203730372,0.082368846,268,191.2151899,1.895687343,1213.405063
7,843.8703704,1.666666667,30.85185185,0.862962961,8.924074067,42012.73278,1.666666667,1.629720355,0.348112489,273.2407407,209.2592593,1.962070357,1282.444444
8,23.77922078,7.246753247,89.71428571,1.43246754,53.51948057,4743.674668,9.779220779,1.068764936,0.376589945,261.7922078,253.3896104,2.320962336,1312.480519
9,769.3411765,9.788235294,119.0352941,3.071764688,6.445882346,2815.583878,0.776470588,1.09003176,0.036018019,267.3058824,191.3882353,1.899698825,1212
10,848.3648649,1.689189189,33.51351351,0.906756754,7.541891878,40133.41274,1.959459459,1.440808093,0.447189261,273.0810811,209.1081081,1.961754047,1281.783784
11,93.65591398,5.47311828,46.2688172,1.99139785,3.788172034,46731.14604,8.387096774,1.115150537,0.073450881,265.2688172,257.1612903,2.432195694,1270.956989
12,1110,4.390243902,26.97560976,1.712195122,47.57804889,46623.5121,0.487804878,2.281299966,0.166481432,272.9512195,200.9268293,1.926043897,1255.414634
13,392.4864865,2.148648649,72.41891892,2.125675685,8.32972977,85497.82422,7.378378378,1.025751352,0.333513419,265.4459459,232.6351351,2.157739195,1295.648649
14,847.4202899,1.623188406,33.60869565,0.881159418,7.837681145,40490.92873,1.855072464,1.46841158,0.404853884,273.1014493,209.1594203,1.96214347,1281.84058
15,187.2795699,8.806451613,120.0645161,3.219354825,7.688172033,23814.55425,8.483870968,1.162865593,0.043650098,262.2795699,248.9677419,2.423201069,1235.16129
16,105,4.163043478,35.81521739,1.772826093,1.001086962,40591.90391,8.22826087,1.814081499,0.119652614,266.1630435,258.5217391,2.451711968,1267.5
17,842.5,1.736842105,29.05263158,0.789473678,9.650000008,42647.51316,1.605263158,1.806997347,0.429909216,273.2631579,209.3684211,1.962513139,1282.947368
18,175.4623656,7.225806452,71.40860215,1.130107521,1.324731185,44113.06389,13.39784946,1.338386011,0.262065848,266.3548387,221.0645161,2.203065598,1206.075269
19,187.9032258,6.107526882,83.7311828,1.781720428,1.516129037,40033.04503,14.70967742,1.08417204,0.227947154,265.6129032,220.0430108,2.199816122,1202.419355
20,82.71428571,5.5,49.42857143,1.364285729,1.142857142,37155.95452,9,1.219507141,0.152855687,265.7142857,257.4285714,2.44855002,1263.642857
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
